article_id,headline,Subject,Relation,Object,Score
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",People,queue up to present cases,judicial officers,0.9
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",People,names deleted from,voters' lists,0.9
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",People,affected by,Special Intensive Revision (SIR),0.85
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",People,location,Krishnanagar,0.9
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",People,district,Nadia district,0.9
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",People,date,"Tuesday, April 7, 2026",0.9
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",Voters,names deleted from,election rolls,0.9
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",Voters,count of names deleted,"27,16,393",0.95
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",Voters,affected by,adjudication,0.8
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",Voters,cannot cast ballot,"14,28,771",0.95
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",Voters,percentage cannot cast ballot,52.6%,0.95
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",Voter list,frozen for,first phase of West Bengal Assembly polls,0.9
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",Voters,remaining count,"12,87,622",0.95
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",Voters,percentage remaining,47.4%,0.95
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",Voters,chance to be included if,tribunals clear their names,0.9
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",Voter list,frozen on,April 9,0.9
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",Voter list,second phase is frozen,April 9,0.9
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",West Bengal,poll-bound,state,0.8
ART_001,"Of 27.16 lakh Bengal voters deleted after adjudication, doors shut for more than half",PTI,source of,Photo,0.9
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,officially aged,46 years old,0.8
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,born on,"April 6, 1980",0.95
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,emerged from,Janata experiment faltered and fragmented,0.85
